1-0-0,0,0,0,なし
1-0-40,0,0,0,テストエリア１
1-0-28,0,0,0,テストエリア２
1-0-52,0,0,0,ダングルフの涸れ谷
1-0-56,-46,81,-46,デルクフの塔
1-0-57,-139,21,129,ザルカバード
1-0-58,-282,19,20,クフィム島
1-0-60,-87,-17,47,ズヴァール城外郭
1-0-61,-59,0,-60,ベドー
1-0-62,17,-25,-46,クゥルンの大伽藍
1-0-63,60,0,-114,オズトロヤ城
1-0-64,-339,-25,22,祭壇の間
1-0-65,158,-8,-121,トライマライ水路
1-0-71,-75,-16,-289,ブブリム半島
1-0-72,370,-1,-63,ボスディン氷河
1-0-73,110,-13,18,ズヴァール城内郭
1-0-74,0,0,0,ズヴァール城・王の間
1-0-75,-421,28,-165,シャクラミの地下迷宮
1-0-76,391,32,20,クロウラーの巣
1-0-77,-181,39,277,エルディーム古墳
1-0-78,-56,1,-186,ウィンダス水の区
1-0-79,1,11,8,ウィンダス石の区
1-0-80,-191,1,56,ウィンダス港
1-0-81,-10,-2,-47,ウィンダス森の区
1-0-88,165,0,59,パルブロ鉱山
1-0-89,-60,0,20,ワールンの祠
1-0-90,219,-19,300,コンシュタット高地
1-0-92,-113,0,281,オルデール鍾乳洞
1-0-95,59,0,151,ゲルスパ野営陣
1-0-97,0,0,0,Test Chair
1-0-99,163,-3,-97,ダボイ
1-0-100,-148,8,-48,修道窟
1-0-101,-175,33,-700,メリファト山地
1-0-102,325,-2,-142,バルクルム砂丘
1-0-104,-130,0,-241,ギデアス
1-0-105,19,3,-20,バルガの舞台
1-0-108,-84,0,-222,ボストーニュ監獄
1-0-112,-266,0,29,内ホルトト遺跡
1-0-113,26,0,-52,サンドリア港
1-0-114,25,-3,326,ジャグナー森林
1-0-115,420,-19,20,ラテーヌ高原
1-0-120,-377,9,-402,西ロンフォール
1-0-121,448,9,-375,東ロンフォール
1-0-122,263,-6,219,バタリア丘陵
1-0-123,-337,-48,419,北グスタベルグ
1-0-124,260,0,-190,南グスタベルグ
1-0-125,212,-24,151,パシュハウ沼
1-0-126,250,30,-272,ロランベリー耕地
1-0-127,-383,-6,-377,西サルタバルタ
1-1-0,-69,-9,-703,東サルタバルタ
1-1-1,99,-35,338,タロンギ大峡谷
1-1-2,287,-38,411,ソロムグ原野
1-1-3,-240,19,46,ベヒーモスの縄張り
1-1-4,180,-9,216,不明
1-1-5,0,0,0,ロビーサーバー（キャラ選択画面）
1-1-6,441,38,-20,ホルレーの岩峰
1-1-7,159,83,17,ゲルスパ砦
1-1-8,-134,0,-52,ユグホトの岩屋
1-1-9,-367,177,-47,デルクフの塔・出口
1-1-10,-203,35,87,ラングモント峠
1-1-11,-84,0,19,ツェールン鉱山
1-1-12,0,0,0,不明
1-1-13,406,33,86,デルクフの塔・中層
1-1-14,-98,-8,58,竜王ランペールの墓
1-1-16,37,10,437,グスゲン鉱山
1-1-17,-384,11,428,ガルレージュ要塞
1-1-18,-164,15,-84,フェ・イン
1-1-19,0,0,96,ク・ピアの闘技場
1-1-20,0,0,0,モグハウス・ジュノ
1-1-21,0,0,0,モグハウス・サンドリア
1-1-22,0,0,0,モグハウス・バストゥーク
1-1-23,0,0,0,モグハウス・ウィンダス
1-1-24,0,0,0,船0
1-1-25,0,0,0,船1
1-1-26,0,0,0,飛空挺
1-1-27,0,0,0,飛空挺
1-1-28,0,0,0,飛空挺
1-1-29,0,0,0,船
1-1-30,0,0,0,船
1-1-31,111,0,77,南サンドリア
1-1-32,-1,0,60,北サンドリア
1-1-33,0,0,0,ドラギーユ城
1-1-34,-83,0,-9,バストゥーク鉱山区
1-1-35,-241,10,-63,バストゥーク商業区
1-1-36,110,-9,-84,バストゥーク港
1-1-37,29,13,-5,大工房
1-1-38,0,0,-31,天の塔
1-1-39,0,0,-103,ル・ルデの庭
1-1-40,44,4,-76,ジュノ上層
1-1-41,-58,-5,-71,ジュノ下層
1-1-42,-53,-12,-117,ジュノ港
1-1-43,17,1,-58,セルビナ
1-1-44,-6,1,25,マウラ
1-1-45,0,0,0,モグハウス・サンドリア
1-1-46,0,0,0,モグハウス・バストゥーク
1-1-47,0,0,0,モグハウス・ウィンダス
1-1-48,-119,5,-3,不明
1-1-49,-115,6,-11,不明
1-1-50,-41,11,-133,不明
1-1-51,11,8,5,不明
1-1-52,18,4,-3,不明
1-1-53,21,0,60,不明
1-1-54,-69,2,29,不明
1-1-55,-86,3,26,不明
1-1-56,-53,1,-28,不明
1-1-57,6,0,-2,不明
1-1-58,-13,0,-14,不明
1-1-59,-66,0,9,不明
1-1-60,12,0,47,不明
1-1-61,201,11,-58,不明
1-1-62,289,13,-133,不明
1-1-63,306,12,-149,不明
1-1-64,218,5,51,不明
1-1-65,81,6,-133,不明
1-1-66,316,11,-174,不明
1-1-67,157,5,-74,不明
1-1-68,155,4,-116,不明
1-1-69,38,8,-71,不明
1-1-70,175,6,67,不明
1-1-71,97,5,-84,不明
1-1-72,287,16,-140,不明
1-1-73,305,16,-157,不明
1-1-74,322,16,-177,不明
1-1-75,104,0,24,不明
1-1-76,103,0,-21,不明
1-1-77,18,11,27,不明
1-1-78,-57,17,34,不明
1-1-79,-24,16,35,不明
1-1-80,-23,17,-29,不明
1-1-81,17,11,-25,不明
1-1-82,15,11,-1,不明
1-1-83,53,-1,29,不明
1-1-84,54,0,-27,不明
1-1-85,-102,20,0,不明
1-1-86,-109,19,-14,不明
1-1-87,-95,21,12,不明
1-1-88,-96,20,-12,不明
1-1-89,-136,19,37,不明
1-1-90,-56,17,-34,不明
1-1-91,-106,20,11,不明
1-1-92,26,-6,1,不明
1-1-93,-132,19,-37,不明
1-1-94,17,-4,-77,不明
1-1-95,73,5,-7,不明
1-1-96,101,0,33,不明
1-1-97,158,9,7,不明
1-1-98,140,2,-18,不明
1-1-99,78,0,33,不明
1-1-100,-54,5,36,不明
1-1-101,-43,7,61,不明
1-1-102,-90,9,24,不明
1-1-103,187,3,3,不明
1-1-104,191,10,16,不明
1-1-105,8,0,-99,不明
1-1-106,-88,0,109,不明
1-1-107,144,5,1,不明
1-1-108,-85,0,61,不明
1-1-109,-76,1,36,不明
1-1-110,143,7,40,不明
1-1-111,286,11,96,不明
1-1-112,124,3,0,不明
1-1-113,186,4,97,不明
1-1-114,117,8,100,不明
1-1-115,-164,2,42,不明
1-1-116,-157,1,62,不明
1-1-117,211,4,70,不明
1-1-118,92,7,91,不明
1-1-119,79,7,69,不明
1-1-120,-156,1,17,不明
1-1-121,178,-10,267,不明
1-1-122,173,-1,279,不明
1-1-123,191,-2,162,不明
1-1-124,188,-9,147,不明
1-1-125,134,3,61,不明
1-1-126,100,3,41,不明
1-1-127,187,0,207,不明
1-2-0,55,3,34,不明
1-2-1,0,0,0,不明
1-2-2,0,0,0,不明
1-2-3,0,0,0,不明
1-2-4,0,0,0,不明
1-2-5,0,0,0,不明
1-2-6,0,0,0,不明
1-2-7,0,0,0,不明
1-2-8,0,0,0,不明
1-2-9,0,0,0,不明
1-2-10,0,0,0,不明
1-2-11,0,0,0,不明
1-2-12,0,0,0,不明
1-2-13,0,0,0,不明
1-2-14,0,0,0,不明
1-2-15,0,0,0,不明
1-2-16,0,0,0,不明
1-2-17,0,0,0,不明
1-2-18,0,0,0,不明
1-2-19,0,0,0,不明
1-2-20,0,0,0,不明
1-2-21,0,0,0,不明
1-2-22,0,0,0,不明
1-2-23,0,0,0,不明
1-2-24,0,0,0,不明
1-2-25,0,0,0,不明
1-2-26,0,0,0,不明
1-2-27,0,0,0,不明
1-2-28,0,0,0,不明
1-2-29,0,0,0,不明
1-2-30,0,0,0,不明
1-2-31,0,0,0,不明
1-2-32,0,0,0,不明
1-2-33,0,0,0,不明
1-2-34,0,0,0,不明
1-2-35,0,0,0,不明
1-2-36,0,0,0,不明
1-2-37,0,0,0,不明
1-2-38,0,0,0,不明
1-2-39,0,0,0,不明
1-2-40,0,0,0,不明
1-2-41,0,0,0,不明
1-2-42,0,0,0,不明
